,,Table S3. List of DEGs across GSE150899.,,,,,,
,,,,,,,,
Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Symbol,Gene_Description
1,98.76821448,0.894017746,0.194945636,4.585984925,4.52E-06,6.07E-05,A1BG,alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5]
2,10606.46134,-0.023752589,0.171987676,-0.138106345,0.890156372,0.941112964,A2M,alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]
3,5.419581794,-0.473982586,0.435264822,-1.088952201,0.276174965,0.458330235,,alpha-2-macroglobulin pseudogene 1 [Source:NCBI gene (formerly Entrezgene);Acc:3]
9,65.90789135,-0.32076953,0.245279588,-1.307770994,0.190950995,0.358351965,NAT1,N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7645]
10,0.641157474,-0.001904627,1.318688131,-0.001444335,0.998847588,0.999526026,NAT2,N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7646]
12,207.6059233,0.241762644,0.558803301,0.43264355,0.665273746,0.798680361,SERPINA3,serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]
13,3.394711054,-3.539973963,0.941335783,-3.760585783,0.000169516,0.001359028,AADAC,arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17]
14,1408.260992,0.044325986,0.095053471,0.466326853,0.640981561,0.780940087,AAMP,angio associated migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]
15,21.77266473,-0.59252072,0.497525045,-1.190936468,0.233678527,0.410527023,AANAT,aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19]
16,1937.573588,-0.272258642,0.135779053,-2.005159376,0.044946012,0.125672353,AARS1,alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]
18,1912.035926,-0.621829424,0.235036219,-2.645674898,0.008152813,0.033315306,ABAT,4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]
19,1179.126612,0.492974302,0.247448559,1.992229432,0.04634589,0.128400257,ABCA1,ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]
20,3906.473344,0.392154826,0.193082803,2.031018919,0.042253075,0.120131212,ABCA2,ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]
21,1243.62103,-0.173950901,0.181726141,-0.957214525,0.338458987,0.524821872,ABCA3,ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]
22,402.4782844,0.135586283,0.080626081,1.681667798,0.092633276,0.21405191,ABCB7,ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]
23,1095.973791,0.026006748,0.144179132,0.18037803,0.856855801,0.920574213,ABCF1,ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]
24,47.43206106,0.850213874,0.212995151,3.991705304,6.56E-05,0.00060718,ABCA4,ATP binding cassette subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:34]
25,2448.816058,0.117435224,0.124040054,0.946752444,0.34376494,0.530094764,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]"
26,26.69225552,1.72878821,0.492429884,3.510729683,0.000446879,0.003100934,AOC1,amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]
27,590.5142608,0.538948116,0.222656644,2.420534625,0.015497703,0.055126135,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]"
28,1276.322811,-0.197994742,0.284927637,-0.694894828,0.487121214,0.662435848,ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase [Source:HGNC Symbol;Acc:HGNC:79]"
29,1625.116237,1.148028621,0.151383683,7.583569125,3.36E-14,3.00E-12,ABR,ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]
30,903.6116442,0.408429266,0.121090214,3.372933733,0.000743718,0.004782647,ACAA1,acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]
31,548.5470077,0.072796201,0.122947758,0.592090512,0.55378998,0.716536365,ACACA,acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]
32,942.8698498,-0.90068902,0.319520281,-2.81887903,0.004819168,0.021939219,ACACB,acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]
33,502.3803787,-0.638743853,0.306699538,-2.082637152,0.03728431,0.109324185,ACADL,acyl-CoA dehydrogenase long chain [Source:HGNC Symbol;Acc:HGNC:88]
34,841.7297636,-0.716703727,0.1439355,-4.979339548,6.38E-07,1.10E-05,ACADM,acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]
35,348.6616778,-0.211678371,0.171057708,-1.237467601,0.215913535,0.389394901,ACADS,acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]
